ID,Latitude,Longitude,Date,HLS_Tile,HLSS30_020_B04,HLSS30_020_B08,HLSS30_020_Fmask,HLSS30_020_Fmask_bitmask,HLSS30_020_Fmask_Aerosol_level,HLSS30_020_Fmask_Aerosol_level_Description,HLSS30_020_Fmask_Water,HLSS30_020_Fmask_Water_Description,HLSS30_020_Fmask_Snow/ice,HLSS30_020_Fmask_Snow/ice_Description,HLSS30_020_Fmask_Cloud_shadow,HLSS30_020_Fmask_Cloud_shadow_Description,HLSS30_020_Fmask_Adjacent_to_cloud/shadow,HLSS30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSS30_020_Fmask_Cloud,HLSS30_020_Fmask_Cloud_Description,"HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
2,54.0,22.9,2023-02-03,34UFE,0.4438,0.4386,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-02-08,34UFE,0.4272,0.439,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-02-28,34UFE,0.0533,0.2073,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
2,54.0,22.9,2023-03-05,34UFE,0.4737,0.5685,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-03-15,34UFE,0.5492,0.6051,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-03-20,34UFE,0.2132,0.3544,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-03-25,34UFE,-0.0107,0.0416,200.0,0b11001000,0b11,High aerosol,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,"Reserved, but not used"
2,54.0,22.9,2023-03-30,34UFE,0.0693,0.2511,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
2,54.0,22.9,2023-04-09,34UFE,0.1911,0.3659,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-04-19,34UFE,0.0399,0.2804,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
2,54.0,22.9,2023-04-24,34UFE,0.0495,0.3136,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
2,54.0,22.9,2023-04-29,34UFE,0.1576,0.4463,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-05-04,34UFE,0.6823,0.6372,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-05-09,34UFE,0.0462,0.4163,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
2,54.0,22.9,2023-05-14,34UFE,0.047,0.5356,196.0,0b11000100,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,"Reserved, but not used"
2,54.0,22.9,2023-05-24,34UFE,1.1157,1.1832,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-05-29,34UFE,0.8742,0.9259,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-06-03,34UFE,0.0097,0.1374,202.0,0b11001010,0b11,High aerosol,0b0,No,0b0,No,0b1,Yes,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-06-08,34UFE,0.0766,0.4018,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-06-13,34UFE,0.0203,0.1149,136.0,0b10001000,0b10,Moderate aerosol,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,"Reserved, but not used"
2,54.0,22.9,2023-06-23,34UFE,0.5258,0.6127,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-07-03,34UFE,0.0443,0.3836,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
2,54.0,22.9,2023-07-08,34UFE,0.0433,0.4539,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-07-13,34UFE,0.0533,0.3671,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
2,54.0,22.9,2023-07-18,34UFE,0.045,0.1668,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-07-23,34UFE,0.4458,0.5233,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-07-28,34UFE,0.5069,0.607,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
2,54.0,22.9,2023-08-02,34UFE,0.0148,0.0842,136.0,0b10001000,0b10,Moderate aerosol,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,"Reserved, but not used"
